70,2890,1265817600000,-1,300054.SZ,鼎龙股份,6000,1500,100,-1,-1
71,2891,1265299200000,-1,002351.SZ,漫步者,14700,3700,100,-1,-1
72,2892,1263225600000,-1,002332.SZ,仙琚制药,34140,8540,100,-1,-1
73,2893,1262880000000,-1,300038.SZ,梅泰诺,9157,2300,100,-1,-1
74,2894,755107200000,-1,600699.SS,*ST得亨,18572,17277,100,-1,-1
75,2895,1267113600000,-1,300057.SZ,万顺股份,21100,5300,100,-1,-1
76,2896,1268668800000,-1,002370.SZ,亚太药业,12000,3000,100,-1,-1
77,2897,835891200000,-1,900939.SS,*ST汇丽B,8800,8800,100,-1,-1
78,2898,910108800000,-1,600179.SS,*ST黑化,39000,19522,100,-1,-1
79,2899,891446400000,-1,600131.SS,*ST岷电,50413,36305,100,-1,-1
80,2900,929635200000,-1,000922.SZ,*ST阿继,29844,17189,100,-1,-1
81,2901,899136000000,-1,000820.SZ,*ST金城,28783,21614,100,-1,-1
82,2902,1264608000000,-1,002346.SZ,柘中建设,13500,3500,100,-1,-1
83,2903,1268668800000,-1,002369.SZ,卓翼科技,10000,2500,100,-1,-1
84,2904,867945600000,-1,600091.SS,*ST明科,33653,33653,100,-1,-1
85,2905,938016000000,-1,600145.SS,*ST四维,37769,23298,100,-1,-1
86,2906,718905600000,-1,600617.SS,*ST联华,10264,6027,100,-1,-1
87,2907,711907200000,-1,600609.SS,*ST金杯,109267,109267,100,-1,-1
88,2908,749145600000,-1,900913.SS,*ST联华Ｂ,6456,6456,100,-1,-1
89,2909,1157904000000,-1,100613.SZ,国债0613,-1,-1,100,-1,-1
90,2910,1204732800000,-1,100802.SZ,国债0802,-1,-1,100,-1,-1
91,2911,1157904000000,-1,010613.SS,06国债⒀,-1,-1,100,-1,-1
92,2912,1276790400000,-1,019017.SS,10国债17,-1,-1,100,-1,-1
93,2913,1259251200000,-1,002309.SZ,中利科技,24030,6030,100,-1,-1
