1,293,5780
2,293,5848
3,293,5523
4,298,5715
5,307,5722
6,309,5855
7,310,5418
8,328,5609
9,328,5854
10,331,5845
11,335,5248
12,338,5531
13,341,5354
14,343,5944
15,344,5751
16,344,5866
17,344,5272
18,345,6004
19,345,5658
20,351,6116
21,352,5510
22,355,6139
23,356,5523
24,358,5830
25,360,5850
26,362,6183
27,362,5861
28,363,5710
29,363,5516
30,368,5326
31,369,5851
32,370,5647
33,371,5861
34,372,5864
35,373,5839
36,375,6132
37,377,5390
38,384,5618
39,389,6156
40,389,5856
41,389,5356
42,390,5647
43,392,6148
44,394,5480
45,395,5439
46,396,5419
47,398,5957
48,401,5535
49,404,5468
50,406,5419
51,406,5869
52,408,5855
53,409,6132
54,410,5439
55,412,5492
56,415,5477
57,416,5329
58,416,5925
59,418,5727
60,420,5889
61,421,5982
62,422,5647
63,424,5685
64,432,5621
65,434,5278
66,436,5476
67,438,5851
68,439,5799
69,447,5867
70,451,5647
71,451,5872
72,453,5510
73,454,5523
74,455,5865
75,458,5854
76,458,5609
77,459,5408
78,460,5866
79,465,5485
80,467,5432
81,468,5993
82,470,5383
83,473,5920
84,474,5517
85,474,5557
86,475,5868
87,475,5667
88,479,5614
89,481,5685
90,483,5989
91,484,5360
92,485,5799
93,488,5254
94,490,6004
95,491,5872
96,494,5856
97,494,5356
98,498,6141
99,500,5278
100,502,5624
101,504,6182
102,504,5518
103,505,5433
104,506,5531
105,521,5882
106,528,5868
107,1314,5364
108,1314,5866
109,1320,5617
110,1321,5510
111,1321,5342
112,1326,6011
113,1327,5318
114,1331,5234
115,1331,5384
116,1332,5262
117,1334,5287
118,1336,5293
119,1338,5850
120,1339,5856
121,1340,5532
122,1342,5868
123,1343,5999
124,1344,5848
125,1348,6029
126,1349,5334
127,1350,5479
128,1351,5491
129,1354,5857
130,1354,5319
131,1358,5858
132,1362,5868
133,1366,5861
134,1366,6179
135,1385,5855
136,1390,5866
137,1394,5630
138,1394,5399
139,1396,6141
140,1398,5889
141,1398,5863
142,1398,5262
143,1402,5945
144,1403,5381
145,1403,5869
146,1404,5663
147,1404,6148
148,1405,5376
149,1406,5860
150,1406,5919
151,1408,5685
152,1409,5704
153,1413,5491
154,1415,5883
155,570,5629
156,623,5853
157,669,5466
158,671,6004
159,679,5868
160,733,5356
161,733,5471
162,733,6156
163,735,5863
164,736,5297
165,740,5273
166,742,5919
167,746,5790
168,746,5849
169,747,5523
170,755,5319
171,755,6163
172,756,5272
173,758,5300
174,758,5750
175,759,5323
176,762,5854
177,764,5288
178,772,5363
179,772,5578
180,774,5919
181,775,5546
182,777,5886
183,779,6145
184,788,5861
185,790,5999
186,793,5496
187,793,5707
188,795,5855
189,795,5397
190,797,5293
191,797,5358
192,798,5315
193,798,5612
194,800,5882
195,807,5409
196,809,5338
197,810,5511
198,812,5868
199,816,5989
200,816,5248
201,817,5611
202,820,5477
203,820,5858
204,822,5611
205,825,5777
206,825,5848
207,825,5523
208,832,6021
209,836,5610
210,837,5727
211,841,5259
212,842,5873
213,843,5428
214,844,5254
215,845,5664
216,846,5418
217,849,5869
218,850,5248
219,851,5647
220,852,5862
221,852,5944
222,857,5407
223,859,5320
224,6,5868
225,8,5889
226,10,5854
227,12,6112
228,22,5622
229,26,5821
230,29,5919
231,31,6142
232,32,5359
233,34,6004
234,44,5539
235,45,5612
236,53,6179
237,54,5262
238,55,5999
239,58,5957
240,63,5799
241,64,5878
242,69,6145
243,72,5863
244,74,5629
245,75,5484
246,79,5727
247,87,5375
248,88,6145
249,93,5861
250,94,5723
251,100,5714
252,108,5318
253,111,5948
254,113,5401
255,114,5664
256,116,6148
257,117,5858
258,118,6171
259,119,5665
260,128,5522
261,131,5401
262,136,5419
263,136,5254
264,137,5330
265,145,5630
266,145,6144
267,152,5863
268,153,5957
269,153,5685
270,157,5657
271,160,5439
272,164,5328
273,166,5468
274,167,5861
275,168,5999
276,169,5999
277,174,5728
278,177,5435
279,179,5856
280,180,5849
281,182,5477
282,185,5334
283,185,5498
284,199,5855
285,199,5628
286,200,5523
287,201,5495
288,212,5883
289,214,5419
290,220,5802
291,220,5615
292,222,5338
293,228,5863
294,231,5861
295,2221,5855
296,2227,5416
297,2227,6116
298,2234,5237
299,2245,5873
300,2247,6115
301,2250,5867
302,2307,5281
303,2307,5866
304,2310,6098
305,2310,5516
306,2320,5287
307,2321,5557
308,2325,5352
309,2328,5867
310,2329,5293
311,2336,5343
312,2338,5854
313,2352,5863
314,2352,5288
315,2363,5767
316,2363,5956
317,2365,5872
318,2365,5957
319,2366,5945
320,2368,5865
321,2372,5944
322,2372,5999
323,2373,5861
324,2373,5343
325,2375,5667
326,2378,5882
327,2396,5848
328,2399,5855
329,2400,5723
