70,2890,1209312000000,-1,鼎龙股份,湖北鼎龙化学股份有限公司,1265817600000
71,2891,1193932800000,-1,漫步者,深圳市漫步者科技股份有限公司,1265299200000
72,2892,1009468800000,-1,仙琚制药,浙江仙琚制药股份有限公司,1263225600000
73,2893,1236528000000,-1,梅泰诺,北京梅泰诺通信技术股份有限公司,1262880000000
74,2894,713116800000,-1,辽源得亨,辽源得亨股份有限公司,755107200000
75,2895,1198684800000,-1,万顺股份,汕头万顺包装材料股份有限公司,1267113600000
76,2896,1009728000000,-1,亚太药业,浙江亚太药业股份有限公司,1268668800000
77,2897,835545600000,-1,汇丽股份,上海汇丽建材股份有限公司,835891200000
78,2898,909676800000,-1,黑化股份,黑龙江黑化股份有限公司,910108800000
79,2899,757267200000,-1,岷江水电,四川岷江水利电力股份有限公司,891446400000
80,2900,725817600000,-1,阿继电器,阿城继电器股份有限公司,929635200000
81,2901,896198400000,-1,金城股份,金城造纸股份有限公司,899136000000
82,2902,1185897600000,-1,柘中建设,上海柘中建设股份有限公司,1264608000000
83,2903,1187107200000,-1,卓翼科技,深圳市卓翼科技股份有限公司,1268668800000
84,2904,867254400000,-1,明天科技,包头明天科技股份有限公司,867945600000
85,2905,906912000000,-1,四维控股,重庆四维控股(集团)股份有限公司,938016000000
86,2906,711734400000,-1,联华合纤,上海联华合纤股份有限公司,718905600000
87,2907,578592000000,-1,金杯汽车,金杯汽车股份有限公司,711907200000
88,2908,711734400000,-1,联华合纤,上海联华合纤股份有限公司,749145600000
89,2909,0,-1,国债0613,2006年记账式(十三期)国债,1157904000000
90,2910,0,-1,国债0802,2008年记账式（二期）国债,1204732800000
91,2911,0,-1,06国债⒀,2006年记账式(十三期)国债,1157904000000
92,2912,0,-1,10国债17,2010年记账式附息(十七期)国债,1276790400000
93,2913,1186329600000,-1,中利科技,中利科技集团股份有限公司,1259251200000
94,2914,1009296000000,-1,福瑞股份,内蒙古福瑞中蒙药科技股份有限公司,1263916800000
95,2915,0,-1,09皖通债,2009年安徽皖通高速公路股份有限公司公司债券,1264003200000
96,2916,0,-1,美丰转债,四川美丰化工股份有限公司可转换公司债券,-1
97,2917,1201536000000,-1,华力创通,北京华力创通科技股份有限公司,1263916800000
98,2918,965664000000,-1,九洲电气,哈尔滨九洲电气股份有限公司,1262880000000
99,2919,1192982400000,-1,康力电梯,康力电梯股份有限公司,1268323200000
100,2920,1182960000000,-1,浩宁达,深圳浩宁达仪表股份有限公司,1265644800000
101,2921,1177776000000,-1,天源迪科,深圳天源迪科信息技术股份有限公司,1263916800000
102,2922,609004800000,-1,朝华科技,朝华科技(集团)股份有限公司,853689600000
103,2923,871833600000,-1,中弘地产,中弘地产股份有限公司,961084800000
104,2924,1033228800000,-1,太极股份,太极计算机股份有限公司,1268323200000
105,2925,838915200000,-1,山西焦化,山西焦化股份有限公司,839433600000
106,2926,1008691200000,-1,盾安环境,浙江盾安人工环境股份有限公司,1088956800000
107,2927,843667200000,-1,华源发展,上海华源企业发展股份有限公司,844272000000
108,2928,764956800000,-1,金牛化工,河北金牛化工股份有限公司,835718400000
109,2929,1196697600000,-1,丽鹏股份,山东丽鹏股份有限公司,1268841600000
110,2930,0,-1,09紫江债,2009年上海紫江企业集团股份有限公司公司债券,1263916800000
111,2931,1196956800000,-1,华泰证券,华泰证券股份有限公司,1267113600000
112,2932,982857600000,-1,中核钛白,中核华原钛白股份有限公司,1186070400000
113,2933,967478400000,-1,国通管业,安徽国通高新管业股份有限公司,1077120000000
114,2934,787334400000,-1,精伦电子,精伦电子股份有限公司,1023897600000
115,2935,0,-1,09黄城投,2009年黄石市城市建设投资开发公司企业债券,1271865600000
116,2936,1206460800000,-1,欧比特,珠海欧比特控制工程股份有限公司,1265817600000
117,2937,1196179200000,-1,章源钨业,崇义章源钨业股份有限公司,1269964800000
118,2938,1189958400000,-1,鲁丰股份,山东鲁丰铝箔股份有限公司,1269964800000
119,2939,1164211200000,-1,南洋科技,浙江南洋科技股份有限公司,1271088000000
120,2940,0,-1,09海航债,2009年海航集团有限公司公司债券,1265126400000
121,2941,742665600000,-1,锌业股份,葫芦岛锌业股份有限公司,867254400000
122,2942,0,-1,09金丰债,2009年上海金丰投资股份有限公司公司债券,1264521600000
123,2943,0,-1,09沈国资,2009年沈阳农业高新区国有资产经营有限公司公司债券,1268150400000
124,2944,0,-1,09宿建投,2009年宿州市建设投资有限责任公司公司债券,1268236800000
125,2945,0,-1,09宜化债,2009年湖北宜化化工股份有限公司公司债,1267372800000
